fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"226","11207004400",,139.0887659,36.00428237,"0","1","0","0","0","0","0",222.600006103516,台地段丘
"227","11207004500",,139.0926129,36.00285721,"0","1","0","0","0","0","0",229.100006103516,台地段丘
"228","11207004600",,139.0956098,36.00374374,"0","1","0","0","0","0","0",280.5,台地段丘
"229","11207004700",福仙塚古墳,139.100382,36.0051602,"0","0","0","1","0","0","0",287,丘陵地
"230","11207004800",,139.0779079,36.00050772,"0","1","0","0","0","0","0",212.100006103516,丘陵地
"231","11207004900",上宮地遺跡,139.090038,36.00291276,"0","0","0","1","1","0","0",226.600006103516,台地段丘
"232","11207005000",,139.0798395,36.00017173,"0","0","0","1","0","0","0",215.600006103516,丘陵地
"233","11207005100",井の尻遺跡,139.0745641,35.99968862,"0","1","0","0","0","0","0",207.699996948242,
"234","11207005200",龍神塚遺跡,139.0971448,36.00263502,"0","0","0","1","0","0","0",281.5,丘陵地
"235","11207005300",,139.0819248,35.99892452,"0","0","0","1","0","0","0",223,台地段丘
"236","11207005400",,139.0847852,35.99871872,"0","0","1","0","0","0","0",224.899993896484,台地段丘
"237","11207005500",,139.0718076,35.99516333,"0","0","0","1","0","0","0",218.5,丘陵地
"238","11207005600",上中村遺跡,139.0768779,35.9966191,"0","0","0","1","0","0","0",219.399993896484,丘陵地
"239","11207005700",,139.0843732,35.99721881,"0","0","0","1","0","0","0",227,台地段丘
"240","11207005800",氷雨塚古墳,139.0931875,35.99722415,"0","0","0","1","0","0","0",240.600006103516,台地段丘
"241","11207005900",上野町遺跡Ⅱ,139.0877956,35.99570246,"0","0","0","1","0","1","0",231.699996948242,台地段丘
"242","11207006000",上野町遺跡,139.085976,35.99561913,"0","0","0","1","0","0","0",230.399993896484,台地段丘
"243","11207006100",葉山遺跡,139.074341,36.035313,"0","1","0","0","0","0","0",241.899993896484,丘陵地
"244","11207006200",,139.0676977,35.99302221,"0","0","0","1","0","0","0",196.300003051758,丘陵地
"245","11207006300",近戸遺跡,139.0715085,35.99196665,"0","1","0","0","0","0","0",221.100006103516,丘陵地
"246","11207006400",滝坂古墳群,139.0714399,35.99024438,"0","0","0","1","0","0","0",223.100006103516,丘陵地
"247","11207006500",,139.0857508,35.99279812,"0","0","0","0","0","1","0",234.199996948242,台地段丘
"248","11207006600",,139.0850985,35.99054808,"0","0","0","1","0","0","0",237,台地段丘
"249","11207006700",,139.0838582,36.0064678,"0","1","1","0","0","0","0",210.399993896484,丘陵地
"250","11207006800",姥塚,139.0776827,35.98488101,"0","0","0","1","0","0","0",242,台地段丘
"251","11207006900",狐塚古墳,139.0682297,35.98097155,"0","0","0","1","0","0","0",240,丘陵地
